name;image;description;positions;known_for;Reparto;Producción;Guion;Banda sonora;Guion y continuidad;Composición;sonido de archivo;Música;Como sí mismos;Agradecimientos;metraje de archivo;IMDbPro;Dirección;Dirección o asistencia de la segunda unidad;Equipos adicionales
Andrew Bachelor;https://m.media-amazon.com/images/M/MV5BOTUyMTI5Mzk0M15BMl5BanBnXkFtZTgwODQwMzE0MzE@._V1_QL75_UX90_CR0,1,90,133_.jpg;Andrew Bachelor nació el 26 de junio de 1988 en Toronto, Ontario, Canadá. Es un actor y director, conocido por The Babysitter (2017), La primera vez que nos vimos (2018) y Amor de calendario (2020).;Reparto;A todos los chicos de los que me enamoré;93;7;4;1;;;;1;39;;1;;7;;
Andrew Bachelor;https://m.media-amazon.com/images/M/MV5BOTUyMTI5Mzk0M15BMl5BanBnXkFtZTgwODQwMzE0MzE@._V1_QL75_UX90_CR0,1,90,133_.jpg;Andrew Bachelor nació el 26 de junio de 1988 en Toronto, Ontario, Canadá. Es un actor y director, conocido por The Babysitter (2017), La primera vez que nos vimos (2018) y Amor de calendario (2020).;Reparto;Greg;93;7;4;1;;;;1;39;;1;;7;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Perdona que te moleste;48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Cassius Green(as Lakeith Stanfield);48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Las vidas de Grace;48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Marcus(as Keith Stanfield);48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Puñales por la espalda;48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Lieutenant Elliott;48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Selma;48;5;;5;;;;;32;1;2;;;;
Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_QL75_UX90_CR0,1,90,133_.jpg;LaKeith Stanfield nació el 12 de agosto de 1991 en San Bernardino, California, Estados Unidos. Es un actor y productor, conocido por Perdona que te moleste (2018), Las vidas de Grace (2013) y Puñales por la espalda (2019).;Reparto;Jimmie Lee Jackson(as Lakeith Stanfield);48;5;;5;;;;;32;1;2;;;;
