name;image;description;positions;known_for;Producción;Equipos adicionales;Dirección;Banda sonora;Guion;Reparto;Música;Como sí mismos;Agradecimientos;IMDbPro;Animación;Arte;Sonido;Cámara y electricidad;metraje de archivo;Vestuario;Diseño de vestuario;Dirección o asistencia de la segunda unidad;Composición;sonido de archivo;Edición;Dirección de fotografía y cámara
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;2003;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;La chica de al lado;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;5,8;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;Dirección;3;;13;;3;;;;1;;;;;;;;;;;;;
John Schultz;https://m.media-amazon.com/images/M/MV5BMTY5MDc3OTQ5NV5BMl5BanBnXkFtZTYwMDc4Njk2._V1_QL75_UX90_CR0,0,90,133_.jpg;John Schultz conocido por su papel en Bandwagon (1996), Una pandilla de altura (2002) y Las aventuras de Zachary Beaver (2003).;Dirección;1999;3;;13;;3;;;;1;;;;;;;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Una historia de Brooklyn;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;7,3;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Guion;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;2005;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
Noah Baumbach;https://m.media-amazon.com/images/M/MV5BMjA3NTUzNzM2OF5BMl5BanBnXkFtZTcwNjU4MjYxMw@@._V1_QL75_UX90_CR0,1,90,133_.jpg;Noah Baumbach nació el 3 de septiembre de 1969 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un escritor y director, conocido por Una historia de Brooklyn (2005), Ruido de fondo (2022) y Historia de un matrimonio (2019). Está casado con Greta Gerwig. Tienen un niño. Ha estado casado con Jennifer Jason Leigh.;Guion;Ruido de fondo;9;;16;3;19;4;;30;10;;;1;1;1;1;;;;;;;
